組込みシステムの用途として，適切でないものはどれか。,4,FA機器又は医療機器を制御するシステム,音響，映像機器を制御するシステム,銀行のATM端末システム,列車の座席予約を管理するホストシステム,過去2回出題
"システム管理基準"によれば，情報戦略策定段階の成果物はどれか。,2,関連する他の情報システムと役割を分担し，組織体として最大の効果を上げる機能を実現するために，全体最適化計画との整合性を考慮して策定する開発計画,経営戦略に基づいて組織体全体で整合性及び一貫性を確保した情報化を推進するために，方針及び目標に基づいて策定する全体最適化計画,情報システムの運用を円滑に行うために，運用設計及び運用管理ルールに基づき，さらに規模，期間，システム特性を考慮して策定する運用手順,組織体として一貫し，効率的な開発作業を確実に遂行するために，組織体として標準化された開発方法に基づいて策定する開発手順,過去3回出題
エンタープライズアーキテクチャの"四つの分類体系"に含まれるアーキテクチャは，ビジネスアーキテクチャ，テクノロジアーキテクチャ，アプリケーションアーキテクチャともう一つはどれか。,3,システムアーキテクチャ,ソフトウェアアーキテクチャ,データアーキテクチャ,バスアーキテクチャ,過去4回出題
"システム監査基準"における，組織体がシステム監査を実施する目的はどれか。,3,自社の強み・弱み，自社を取り巻く機会・脅威を整理し，新たな経営戦略・事業分野を設定する。,システム運用部門によるテストによって，社内ネットワーク環境の脆(ぜい)弱性を知り，ネットワーク環境を整備する。,情報システムにまつわるリスクに対するコントロールの整備・運用状況を評価し，改善につなげることによって，ITガバナンスの実現に寄与する。,ソフトウェア開発の生産性のレベルを客観的に知り，開発組織の能力を向上させるために，より高い生産性レベルを目指して取り組む。,過去3回出題
ITサービスマネジメントのキャパシティ管理プロセスにおける，オンラインシステムの容量・能力の利用の監視についての注意事項のうち，適切なものはどれか。,1,応答時間やCPU使用率などの複数の測定項目を定常的に監視する。,オンライン時間帯に性能を測定することはサービスレベルの低下につながるので，測定はオフライン時間帯に行う。,キャパシティ及びパフォーマンスに関するインシデントを記録する。,性能データのうちの一定期間内の最大値だけに着目し，管理の限界を逸脱しているかどうかを確認する。,過去2回出題
ミッションクリティカルシステムの意味として，適切なものはどれか。,3,OSなどのように，業務システムを稼働させる上で必要不可欠なシステム,システム運用条件が，性能の限界に近い状態の下で稼働するシステム,障害が起きると，企業活動に重大な影響を及ぼすシステム,先行して試験導入され，成功すると本格的に導入されるシステム,過去2回出題
プロジェクトメンバが16人のとき，2人ずつの総当たりでプロジェクトメンバ相互の顔合わせ会を行うためには，延べ何時間の顔合わせ会が必要か。ここで，顔合わせ会1回の所要時間は0.5時間とする。,4,8,16,30,60,過去2回出題
プロジェクト全体のスケジュールを短縮する技法の一つである"クラッシング"では，メンバの時間外勤務を増やしたり，業務内容に精通したメンバを新たに増員したりする。"クラッシング"を行う際に，優先的に資源を投入すべきスケジュールアクティビティはどれか。,2,業務の難易度が最も高いスケジュールアクティビティ,クリティカルパス上のスケジュールアクティビティ,資源が確保できる時期に開始するスケジュールアクティビティ,所要期間を最も長く必要とするスケジュールアクティビティ,過去2回出題
ソフトウェア開発において，構成管理に起因しない問題はどれか。,2,開発者が定められた改版手続に従わずにプログラムを修正したので，今まで動作していたプログラムが、不正な動作をするようになった。,システムテストにおいて，単体テストレベルのバグが多発して，開発が予定どおり進捗しない。,仕様書，設計書及びプログラムの版数が対応付けられていないので，プログラム修正時にソースプログラムを解析しないと，修正すべきプログラムが特定できない。,一つのプログラムから多数の派生プログラムが作られているが，派生元のプログラム修正がすべての派生プログラムに反映されない。,過去4回出題
モジュールの独立性を高めるには，モジュール結合度を低くする必要がある。モジュール間の情報の受渡し方法のうち，モジュール結合度が最も低いものはどれか。,3,共通域に定義したデータを関係するモジュールが参照する。,制御パラメタを引数として渡し，モジュールの実行順序を制御する。,データ項目だけをモジュール間の引数として渡す。,必要なデータを外部宣言して共有する。,過去5回出題
機密ファイルが格納されていて，正常に動作するPCの磁気ディスクを産業廃棄物処理業者に引き渡して廃棄する場合の情報漏えい対策のうち，適切なものはどれか。,3,異なる圧縮方式で，機密ファイルを複数回圧縮する。,専用の消去ツールで，磁気ディスクのマスタブートレコードを複数回消去する。,ランダムなビット列で，磁気ディスクの全領域を複数回上書きする。,ランダムな文字列で，機密ファイルのファイル名を複数回変更する。,過去2回出題
ディジタルフォレンジックスでハッシュ値を利用する目的として，適切なものはどれか。,3,一方向性関数によってパスワードを復元できないように変換して保存する。,改変されたデータを，証拠となり得るように復元する。,証拠となり得るデータについて，原本と複製の同一性を証明する。,パスワードの盗聴の有無を検証する。,過去2回出題
クライアントとWebサーバの間において，クライアントからWebサーバに送信されたデータを検査して，SQLインジェクションなどの攻撃を遮断するためのものはどれか。,2,SSL-VPN機能,WAF,クラスタ構成,ロードバランシング機能,過去3回出題
BYODの説明，及びその情報セキュリティリスクに関する記述のうち，適切なものはどれか。,4,従業員が企業から貸与された情報端末を，客先などへの移動中に業務に利用することであり，ショルダハッキングなどの情報セキュリティリスクが増大する。,従業員が企業から貸与された情報端末を，自宅に持ち帰って私的に利用することであり，機密情報の漏えいなどの情報セキュリティリスクが増大する。,従業員が私的に保有する情報端末を，職場での休憩時間などに私的に利用することであり，セキュリティ意識の低下などに起因する情報セキュリティリスクが増大する。,従業員が私的に保有する情報端末を業務に利用することであり，セキュリティ設定の不備に起因するウイルス感染などの情報セキュリティリスクが増大する。,過去2回出題
公開鍵暗号方式を採用した電子商取引において，認証局(CA)の役割はどれか。,2,取引当事者間で共有する秘密鍵を管理する。,取引当事者の公開鍵に対するディジタル証明書を発行する。,取引当事者のディジタル署名を管理する。,取引当事者のパスワードを管理する。,過去2回出題
プライベートIPアドレスの複数の端末が，一つのグローバルIPアドレスを使ってインターネット接続を利用する仕組みを実現するものはどれか。,3,DHCP,DNS,NAPT,RADIUS,過去2回出題
複数のLANを接続するために用いる装置で，OSI基本参照モデルのデータリンク層のプロトコル情報に基づいてデータを中継する装置はどれか。,2,ゲートウェイ,ブリッジ,リピータ,ルータ,過去2回出題
64kビット／秒の回線を用いて10^6バイトのファイルを送信するとき，伝送におよそ何秒掛かるか。ここで，回線の伝送効率は80%とする。,4,19.6,100,125,156,過去4回出題
DBMSにおいて，複数のトランザクション処理プログラムが同一データベースを同時に更新する場合，論理的な矛盾を生じさせないために用いる技法はどれか。,4,再編成,正規化,整合性制約,排他制御,過去2回出題
関係データベースにおいて，外部キ一を定義する目的として，適切なものはどれか。,1,関係する相互のテーブルにおいて，レコード間の参照一貫性が維持される制約をもたせる。,関係する相互のテーブルの格納場所を近くに配置することによって，検索，更新を高速に行う。,障害によって破壊されたレコードを，テーブル間の相互の関係から可能な限り復旧させる。,レコードの削除，追加の繰返しによる，レコード格納エリアのフラグメンテーションを防止する。,過去3回出題
トランザクションが，データベースに対する更新処理を完全に行なうか，全く処理しなかったのように取り消すか，のどちらかの結果になることを保証する特性はどれか。,2,一貫性(consistency),原子性(atomicity),耐久性(durability),独立性(isolation),過去4回出題
3次元グラフィックス処理におけるクリッピングの説明はどれか。,2,CG映像作成における最終段階として，物体のデータをディスプレイに描画できるように映像化する処理である。,画像表示領域にウィンドウを定義し，ウィンドウの外側を除去し，内側の見える部分だけを取り出す処理である。,スクリーンの画素数が有限なので図形の境界近くに生じる，階段状のギザギザを目立たなくする処理である。,立体感を生じさせるため，物体の表面に陰付けを行う処理である。,過去4回出題
HTML文書の文字の大きさ，文字の色，行間などの視覚表現の情報を扱う標準仕様はどれか。,2,CMS,CSS,RSS,Wiki,過去2回出題
RFIDの活用事例として，適切なものはどれか。,4,紙に印刷されたディジタルコードをリーダで読み取ることによる情報の入力,携帯電話とヘッドフォンとの間の音声データ通信,赤外線を利用した近距離データ通信,微小な無線チップによる人又は物の識別及び管理,過去4回出題
静的テストツールの機能に分類されるものはどれか。,1,ソースコードを解析して，プログラムの誤りを検出する。,テスト対象モジュールに必要なドライバ又はスタブを生成する。,テストによって実行した経路から網羅度を算出する。,プログラムの特定の経路をテストするためのデータを生成する。,過去3回出題
コンパイラにおける最適化の説明として，適切なものはどれか。,3,オブジェクトコードを生成する代わりに，インタプリタ用の中間コードを生成する。,コンパイルを実施するコンピュータとは異なるアーキテクチャをもったコンピュータで動作するオブジェクトコードを生成する。,プログラムコードを解析して，実行時の処理効率を高めたオブジェクトコードを生成する。,プログラムの実行時に，呼び出されたサブプログラム名やある時点での変数の内容を表示させるようなオブジェクトコードを生成する。,過去4回出題
システムが単位時間内にジョブを処理する能力の評価尺度はどれか。,3,MIPS値,応答時間,スループット,ターンアラウンドタイム,過去2回出題
キャッシュメモリの効果として，適切なものはどれか。,2,主記憶からキャッシュメモリへの命令の読出しと，主記憶からキャッシュメモリへのデータの読出しを同時に行うことによって，データ転送を高速に行う。,主記憶から読み出したデータをキャッシュメモリに保持し，CPUが後で同じデータを読み出すときのデータ転送を高速に行う。,主記憶から読み出したデータをキャッシュメモリに保持し，命令を並列に処理することによって演算を高速に行う。,主記憶から読み出した命令をキャッシュメモリに保持し，キャッシュメモリ上でデコードして実行することによって演算を高速に行う。,過去2回出題
PCのクロック周波数に関する記述のうち，適切なものはどれか。,1,CPUのクロック周波数と，主記憶を接続するシステムバスのクロック周波数は同一でなくてもよい。,CPUのクロック周波数の逆数が，1秒間に実行できる命令数を表す。,CPUのクロック周波数を2倍にすると，システム全体としての実行性能も2倍になる。,使用しているCPUの種類とクロック周波数が等しければ，2種類のPCのプログラム実行性能は同等になる。,過去2回出題
PCM伝送方式によって音声をサンプリング(標本化)して8ビットのディジタルデータに変換し、圧縮せずにリアルタイムで転送したところ、転送速度は64000ビット／秒であった。このときのサンプリング間隔は何マイクロ秒か。,3,15.6,46.8,125,128,過去6回出題
UNIXにおける正規表現 [A－Z]＋[0－9]＊ が表現する文字列の集合の要素となるものはどれか。ここで，正規表現は次の規則に従う。     [A－Z]は，英字1文字を表す。     [0－9]は，数字1文字を表す。     ＊は，直前の正規表現の0回以上の繰返しを表す。     ＋は，直前の正規表現の1回以上の繰返しを表す。,4,456789,ABC＋99,ABC99＊,ABCDEF,過去3回出題
数値を2進数で格納するレジスタがある。このレジスタに正の整数xを設定した後，"レジスタの値を2ビット左にシフトして，xを加える"操作を行うと，レジスタの値はxの何倍になるか。ここで，あふれ(オーバフロー)は，発生しないものとする。,3,3,4,5,6,過去4回出題
EDIを実施するための情報表現規約で規定されるべきものはどれか。,4,企業間の取引の契約内容,システムの運用時間,伝送制御手順,メッセージの形式,過去8回出題
CRMの目的はどれか。,1,顧客ロイヤリティの獲得と顧客生涯価値の最大化,在庫不足による販売機会損失の削減,製造に必要な資材の発注量と発注時期の決定,販売時点での商品ごとの販売情報の把握,過去3回出題
コストプラス法による価格設定方法を表すものはどれか。,4,価格分析によって，利益最大，リスク最小を考慮し，段階的に価格を決める。,顧客に対する値引きを前提にし，当初からマージンを加えて価格を決める。,市場で競争可能と推定できるレベルで価格を決める。,製造原価，営業費を基準にし，希望マージンを織り込んで価格を決める。,過去3回出題
CSR調達に該当するものはどれか。,3,コストを最小化するために，最も安価な製品を選ぶ。,災害時に調達が不可能となる事態を避けるために，調達先を複数化する。,自然環境，人権などへの配慮を調達基準として示し，調達先に遵守を求める。,物品の購買に当たってEDIを利用し，迅速かつ正確な調達を行う。,過去2回出題
企業活動におけるBPM(Business Process Management)の目的はどれか。,1,業務プロセスの継続的な改善,経営資源の有効活用,顧客情報の管理，分析,情報資源の分析，有効活用,過去3回出題
エンタープライズアーキテクチャ(EA)を説明したものはどれか。,3,オブジェクト指向設計を支援する様々な手法を統一して標準化したものであり，クラス図などのモデル図によってシステムの分析や設計を行うための技法である。,概念データモデルを，エンティティとリレーションシップで表現することによって，データ構造やデータ項目間の関係を明らかにするための技法である。,各業務と情報システムを，ビジネス，データ，アプリケーション，テクノロジの四つの体系で分析し，全体最適化の観点から見直すための技法である。,企業のビジネスプロセスを，データフロー，プロセス，ファイル，データ源泉／データ吸収の四つの基本要素で抽象化して表現するための技法である。,過去4回出題
事業継続計画(BCP)について監査を実施した結果，適切な状況と判断されるものはどれか。,1,従業員の緊急連絡先リストを作成し，最新版に更新している。,重要書類は複製せずに1か所で集中保管している。,全ての業務について，優先順位なしに同一水準のBCPを策定している。,平時にはBCPを従業員に非公開としている。,過去3回出題
"システム管理基準"に基づいて，システムの信頼性，安全性，効率性を監査する際に，システムが不正な使用から保護されているかどうかという安全性の検証項目として，最も適切なものはどれか。,1,アクセス管理機能の検証,フェールソフト機能の検証,フォールトトレラント機能の検証,リカバリ機能の検証,過去2回出題
ITILでは，可用性管理における重要業績評価指標(KPI)の例として，保守性を表す指標値の短縮を挙げている。この指標に該当するものはどれか。,4,一定期間内での中断の数,平均故障間隔,平均サービス・インシデント間隔,平均サービス回復時間,過去2回出題
ファンクションポイント法で，システムの開発規模を見積もるときに際に必要となる情報はどれか。,2,開発者数,画面数,プログラムステップ数,利用者数,過去2回出題
プロジェクトのスケジュールを短縮するために，アクティビティに割り当てる資源を増やして，アクティビティの所要期間を短縮する技法はどれか。,1,クラッシング,クリティカルチェーン法,ファストトラッキング,モンテカルロ法,過去2回出題
プロジェクトマネジメントのプロセスのうち，計画プロセスグループ内で実施するプロセスはどれか。,1,スコープの定義,ステークホルダの特定,品質保証の実施,プロジェクト憲章の作成,過去2回出題
モデリングツールを使用して，本稼働中のデータベースシステムの定義情報からE-R図などで表現した設計書を生成する手法はどれか。,4,コンカレントエンジニアリング,ソーシャルエンジニアリング,フォワードエンジニアリング,リバースエンジニアリング,過去2回出題
階層構造のモジュール群から成るソフトウェアの結合テストを，上位のモジュールから行う。この場合に使用する，下位モジュールの代替となるテスト用のモジュールはどれか。,3,エミュレータ,シミュレータ,スタブ,ドライバ,過去3回出題
オブジェクト指向におけるカプセル化を説明したものはどれか。,4,同じ性質をもつ複数のオブジェクトを抽象化して，整理すること,基底クラスの性質を派生クラスに受け継がせること,クラス間に共通する性質を抽出し，基底クラスを作ること,データとそれを操作する手続を一つのオブジェクトにして，データと手続の詳細をオブジェクトの外部から隠蔽すること,過去3回出題
安全性や信頼性を確保するための設計のうち，フールプルーフに該当するものはどれか。,4,装置が故障したときは，システムが安全に停止するようにして，被害を最小限に抑える。,装置が故障したときは，利用できる機能を制限したり，処理能力を低下させたりしても，システムは稼働させる。,装置が故障しても，システム全体の機能に影響がないように，二重化などの冗長な構成とする。,利用者が誤った操作をしても，システムに異常が起こらないようにする。,過去2回出題
PCへの侵入に成功したマルウェアがインターネット上の指令サーバと通信を行う場合に，宛先ポートとしてTCPポート番号80が多く使用される理由はどれか。,3,DNSのゾーン転送に使用されるので，通信がファイアウォールで許可されている可能性が高い。,WebサイトのHTTPS通信での閲覧に使用されることから，侵入検知システムで検知される可能性が低い。,Webサイトの閲覧に使用されることから，通信がファイアウォールで許可されている可能性が高い。,ドメイン名の名前解決に使用されるので，侵入検知システムで検知される可能性が低い。,過去2回出題
ウイルス検出におけるビヘイビア法に分類されるものはどれか。,4,あらかじめ検査対象に付加された，ウイルスに感染していないことを保証する情報と，検査対象から算出した情報とを比較する。,検査対象と安全な場所に保管してあるその原本とを比較する。,検査対象のハッシュ値と既知のウイルスファイルのハッシュ値とを比較する。,検査対象をメモリ上の仮想環境下で実行して，その挙動を監視する。,過去2回出題
サーバにバックドアを作り，サーバ内で侵入の痕跡を隠蔽するなどの機能がパッケージ化された不正なプログラムやツールはどれか。,2,RFID,rootkit,TKIP,web beacon,過去2回出題
ICカードとPINを用いた利用者認証における適切な運用はどれか。,4,ICカードによって個々の利用者を識別できるので，管理負荷を軽減するために全利用者に共通のPINを設定する。,ICカード紛失時には，新たなICカードを発行し，PINを再設定した後で，紛失したICカードの失効処理を行う。,PINには，ICカードの表面に刻印してある数字情報を組み合わせたものを設定する。,PINは，ICカードには同封せず，別経路で利用者に知らせる。,過去4回出題
情報の"完全性"を脅かす攻撃はどれか。,1,Webページの改ざん,システム内に保管されているデータの不正コピー,システムを過負荷状態にするDoS攻撃,通信内容の盗聴,過去5回出題
人間には読み取ることが可能でも，プログラムでは読み取ることが難しいという差異を利用して，ゆがめたり一部を隠したりした画像から文字を判読させ入力させることで，人間以外による自動入力を排除する技術はどれか。,1,CAPTCHA,QRコード,短縮URL,トラックバックping,過去2回出題
2台のPCにIPv4アドレスを割り振りたい。サブネットマスクが255.255.255.240のとき，両PCのIPv4アドレスが同一ネットワークに所属する組合せはどれか。,2,192.168.1.14と192.168.1.17,192.168.1.17と192.168.1.29,192.168.1.29と192.168.1.33,192.168.1.33と192.168.1.49,過去2回出題
TCP/IPネットワークにおいて，IPアドレスを動的に割り当てるプロトコルはどれか。,2,ARP,DHCP,RIP,SMTP,過去3回出題
トランザクションTはチェックポイント取得後に完了したが，その後にシステム障害が発生した。データベースをトランザクションTの終了直後の状態に戻すために用いられる復旧技法はどれか。ここで，チェックポイントの他に，トランザクションログを利用する。,4,2相ロック,シャドウページ,ロールバック,ロールフォワード,過去2回出題
E-R図に関する記述として，適切なものはどれか。,2,関係データベースの表として実装することを前提に表現する。,業務で扱う情報をエンティティ及びエンティテイ間のリレーションシップとして表現する。,データの生成から消滅に至るデータ操作を表現する。,リレーションシップは，業務上の手順を表現する。,過去5回出題
LRUアルゴリズムで，ページ置換えの判断基準に用いられる項目はどれか。,1,最後に参照した時刻,最初に参照した時刻,単位時間当たりの参照頻度,累積の参照回数,過去2回出題
仮想記憶システムにおいて主記憶の容量が十分でない場合，プログラムの多重度を増加させるとシステムのオーバヘッドが増加し，アプリケーションのプロセッサ使用率が減少する状態を表すものはどれか。,1,スラッシング,フラグメンテーション,ページング,ボトルネック,過去3回出題
3層クライアントサーバシステム構成で実現したWebシステムの特徴として，適切なものはどれか。,3,HTMLで記述されたプログラムをサーバ側で動作させ，クライアントソフトはその結果を画面に表示する。,業務処理の変更のたびに，Webシステムを動作させるための業務処理用アプリケーションを配布し，クライアント端末にインストールする必要がある。,業務処理はサーバ側で実行し，クライアントソフトはHTMLの記述に従って，その結果を画面に表示する。,クライアント端末には，サーバ側からのHTTP要求を待ち受けるサービスを常駐させておく必要がある。,過去2回出題
データを分散して複数の磁気ディスクに書き込むことによって，データ入出力の高速化を図る方式はどれか。,1,ストライピング,スワッピング,ディスクキャッシュ,ミラーリング,過去2回出題
CPUにおける投機実行の説明はどれか。,4,依存関係にない複数の命令を，プログラム中での出現順序に関係なく実行する。,パイプラインの空き時間を利用して二つのスレッドを実行し，あたかも二つのプロセッサであるかのように見せる。,二つ以上のCPUコアによって複数のスレッドを同時実行する。,分岐命令の分岐先が決まる前に，あらかじめ予測した分岐先の命令の実行を開始する。,過去2回出題
Web環境での動的処理を実現するプログラムであって，Webサーバ上だけで動作するものはどれか。,3,JavaScript,Javaアプレット,Javaサーブレット,VBScript,過去3回出題
32ビットで表現できるビットパターンの個数は，24ビットで表現できる個数の何倍か。,4,8,16,128,256,過去3回出題
ある工場では，同じ製品を独立した二つのラインA，Bで製造している。ラインAでは製品全体の60%を製造し，ラインBでは40%を製造している。ラインAで製造された製品の2%が不良品であり，ラインBで製造された製品の1%が不良品であることが分かっている。いま，この工場で製造された製品の一つを無作為に抽出して調べたところ，それは不良品であった。その製品がラインAで製造された確率は何%か。,4,40,50,60,75,過去2回出題
8ビットのビット列の下位4ビットが変化しない操作はどれか。,3,16進表記 0F のビット列との排他的論理和をとる。,16進表記 0F のビット列との否定論理積をとる。,16進表記 0F のビット列との論理積をとる。,16進表記 0F のビット列との論理和をとる。,過去2回出題
不正競争防止法において，営業秘密となる要件は，"秘密として管理されていること"，"事業活動に有用な技術上又は経営上の情報であること"ともう一つはどれか。,3,営業譲渡が可能なこと,期間が10年を超えないこと,公然と知られていないこと,特許出願をしていること,過去4回出題
著作権法によるソフトウェアの保護範囲に関する記述のうち，適切なものはどれか。,4,アプリケーションプログラムは著作権法によって保護されるが，OSなどの基本プログラムは権利の対価がハードウェアの料金に含まれるので，保護されない。,アルゴリズムやプログラム言語は，著作権法によって保護される。,アルゴリズムを記述した文書は著作権法で保護されるが，そのアルゴリズムを用いて作成されたプログラムは保護されない。,ソースプログラムとオブジェクトプログラムの両方とも著作権法によって保護される。,過去4回出題
キャッシュフロー計算書において，営業活動によるキャッシュフローに該当するものはどれか。,2,株式の発行による収入,商品の仕入れによる支出,短期借入金の返済による支出,有形固定資産の売却による収入,過去3回出題
親和図法を説明したものはどれか。,2,事態の進展とともに様々な事象が想定される問題について対応策を検討し，望ましい結果に至るプロセスを定める方法である。,収集した情報を相互の関連によってグループ化し，解決すべき問題点を明確にする方法である。,複雑な要因の絡み合う事象について，その事象間の因果関係を明らかにする方法である。,目的・目標を達成するための手段・方策を順次展開し，最適な手段・方策を追求していく方法である。,過去3回出題
コアコンピタンスの説明はどれか。,1,企業の活動分野において，競合他社にはまねのできない卓越した能力,経営を行う上で法令や各種規制，社会的規範などを遵守する企業活動,市場・技術・商品(サービス)の観点から設定した，事業の展開領域,組織活動の目的を達成するために行う，業務とシステムの全体最適化手法,過去2回出題
BYOD(Bring Your Own Device)の説明はどれか。,4,会社から貸与された情報機器を常に携行して業務にあたること,会社所有のノートPCなどの情報機器を社外で私的に利用すること,個人所有の情報機器を私的に使用するために利用環境を設定すること,従業員が個人で所有する情報機器を業務のために使用すること,過去2回出題
システム監査の実施体制に関する記述のうち，適切なものはどれか。,1,監査依頼者が監査報告に基づく改善指示を行えるように，システム監査人は監査結果を監査依頼者に報告する。,業務監査の一部として情報システムの監査を行う場合には，利用部門のメンバによる監査チームを編成して行う。,システム監査人が他の専門家の支援を受ける場合には，支援の範囲・方法，及び監査結果の判断などは，ほかの専門家の責任において行う。,情報システム部門における開発状況の監査を行う場合には，開発内容を熟知した情報システム部門のメンバによる監査チームを編成して行う。,過去4回出題
ITサービスマネジメントの活動のうち，インシデント管理及びサービス要求管理として行うものはどれか。,4,サービスデスクに対する顧客満足度が合意したサービス目標を満たしているかどうかを評価し，改善の機会を特定するためにレビューする。,ディスクの空き容量がしきい値に近づいたので，対策を検討する。,プログラム変更を行った場合の影響度を調査する。,利用者からの障害報告を受けて，既知の誤りに該当するかどうかを照合する。,過去3回出題
システムの開発部門と運用部門が別々に組織化されているとき，開発から運用への移行を円滑かつ効果的に進めるための方法のうち，適切なものはどれか。,3,運用テストの完了後に，開発部門がシステム仕様と運用方法を運用部門に説明する。,運用テストは，開発部門の支援を受けずに，運用部門だけで実施する。,運用部門からもシステムの運用に関わる要件の抽出に積極的に参加する。,開発部門は運用テストを実施して，運用マニュアルを作成し，運用部門に引き渡す。,過去5回出題
システム開発の進捗管理などに用いられるトレンドチャートの説明はどれか。,3,作業に関与する人と責任をマトリックス状に示したもの,作業日程の計画と実績を対比できるように帯状に示したもの,作業の進捗状況と，予算の消費状況を関連付けて折れ線で示したもの,作業の順序や相互関係をネットワーク状に示したもの,過去2回出題
ソフトウェア開発の活動のうち，アジャイル開発においても重視されているリファクタリングはどれか。,2,ソフトウェアの品質を高めるために，2人のプログラマが協力して，一つのプログラムをコーディングする。,ソフトウェアの保守性を高めるために，外部仕様を変更することなく，プログラムの内部構造を変更する。,動作するソフトウェアを迅速に開発するために，テストケースを先に設定してから，プログラムをコーディングする。,利用者からのフィードバックを得るために，提供予定のソフトウェアの試作品を早期に作成する。,過去2回出題
オブジェクト指向の基本概念の組合せとして，適切なものはどれか。,4,仮想化，構造化，投影，クラス,具体化，構造化，連続，クラス,正規化，カプセル化，分割，クラス,抽象化，カプセル化，継承，クラス,過去4回出題
システムの外部設計を完了させるとき，顧客から承認を受けるものはどれか。,1,画面レイアウト,システム開発計画,物理データベース仕様,プログラム流れ図,過去3回出題
Webサーバの検査におけるポートスキャナの利用目的はどれか。,1,Webサーバで稼働しているサービスを列挙して，不要なサービスが稼働していないことを確認する。,Webサーバの利用者IDの管理状況を運用者に確認して，情報セキュリティポリシからの逸脱がないことを調べる。,Webサーバへのアクセス履歴を解析して，不正利用を検出する。,正規の利用者IDでログインし，Webサーバのコンテンツを直接確認して，コンテンツの脆(ぜい)弱性を検出する。,過去2回出題
電子メールの送信時に，送信者を送信側のメールサーバで認証するためのものはどれか。,4,APOP,POP3S,S/MIME,SMTP-AUTH,過去2回出題
公開鍵暗号方式の暗号アルゴリズムはどれか。,3,AES,KCipher-2,RSA,SHA-256,過去2回出題
ディレクトリトラバーサル攻撃に該当するものはどれか。,2,攻撃者が，Webアプリケーションの入力データとしてデータベースへの命令文を構成するデータを入力し，管理者の意図していないSQL文を実行させる。,攻撃者が，パス名を使ってファイルを指定し，管理者の意図していないファイルを不正に閲覧する。,攻撃者が，利用者をWebサイトに誘導した上で，WebアプリケーションによるHTML出力のエスケープ処理の欠陥を悪用し，利用者のWebブラウザで悪意のあるスクリプトを実行させる。,セッションIDによってセッションが管理されるとき，攻撃者がログイン中の利用者のセッションIDを不正に取得し，その利用者になりすましてサーバにアクセスする。,過去4回出題
ルータがパケットの経路決定に用いる情報として，最も適切なものはどれか。,1,宛先IPアドレス,宛先MACアドレス,発信元IPアドレス,発信元MACアドレス,過去3回出題
本社と工場との間を専用線で接続してデータを伝送するシステムがある。このシステムでは2000バイト／件の伝票データを2件ずつまとめ，それに400バイトのヘッダ情報を付加して送っている。伝票データは，1時間に平均100000件発生している。回線速度を1Mビット／秒としたとき，回線利用率はおよそ何%か。,3,6.1,44,49,53,過去2回出題
ビッグデータの活用例として，大量のデータから統計学的手法などを用いて新たな知識(傾向やパターン)を見つけ出すプロセスはどれか。,3,データウェアハウス,データディクショナリ,データマイニング,メタデータ,過去5回出題
分散データベースシステムにおいて，一連のトランザクション処理を行う複数サイトに更新処理が確定可能かどうかを問い合わせ，すべてのサイトが確定可能である場合，更新処理を確定する方式はどれか。,1,2相コミット,排他制御,ロールバック,ロールフォワード,過去3回出題
音声などのアナログデータをディジタル化するために用いられるPCMにおいて，音の信号を一定の周期でアナログ値のまま切り出す処理はどれか。,2,暗号化,標本化,符号化,量子化,過去2回出題
顧客に，A～Zの英大文字26種類を用いた顧客コードを割り当てたい。現在の顧客総数は8000人であって，新規顧客が毎年2割ずつ増えていくものとする。3年後まで顧客全員にコードを割り当てられるようにするためには，顧客コードは少なくとも何桁必要か。,1,3,4,5,6,過去2回出題
分解能が8ビットのD/A変換器に，ディジタル値0を入力したときの出力電圧が0Vとなり，ディジタル値128を入力したときの出力電圧が2.5Vとなる場合，最下位の1ビットの変化による当該D/A変換器の出力電圧の変化は何Vか。,1,2.5／128,2.5／255,2.5／256,2.5／512,過去3回出題
仮想記憶方式のコンピュータにおいて，実記憶に割り当てられるページ数は3とし，追い出すページを選ぶアルゴリズムは，FIFOとLRUの二つ考える。あるタスクのページアクセス順序が     1、 3、 2、 1、 4、 5、 2、 3、 4、 5     のとき，ページを置き換える回数の組合せとして適切なものはどれか。,2,FIFO = 3     LRU = 2,FIFO = 3     LRU = 6,FIFO = 4     LRU = 3,FIFO = 5     LRU = 4,過去2回出題
ページング方式の説明として，適切なものはどれか。,1,仮想記憶空間と実記憶空間を，固定長の領域に区切り，対応づけて管理する方式,主記憶装置の異なった領域で実行できるように，プログラムを再配置する方式,主記憶装置を，同時に並行して読み書き可能な複数の領域に分ける方式,補助記憶装置に，複数のレコードをまとめて読み書きする方式,過去2回出題
ベンチマークテストの説明として，適切なものはどれか。,2,監視・計測用のプログラムによってシステムの稼働状態や資源の状況を測定し，システム構成や応答性能のデータを得る。,使用目的に合わせて選定した標準的なプログラムを実行させ，その処理性能を測定する。,将来の予測を含めて評価する場合などに，モデルを作成して模擬的に実験するプログラムでシステムの性能を評価する。,プログラムを実際には実行せずに，机上でシステムの処理を解析して，個々の命令の出現回数や実行回数の予測値から処理時間を推定し，性能を評価する。,過去3回出題
