“コンピュータ不正アクセス対策基準”に適合しているものはどれか。,4,監視効率を向上させるためにすべてのネットワークを相互接続する。,業務上必要な場合は，利用者 ID を個人間で共有して使用できる。,システム管理者が，すべての権限をもつ利用者 ID を常に使用できる。,組織のセキュリティ方針を文書化し，定期的に研修を開催する。,平成21年春期 午前問80
衣料品製造販売会社を対象にバリューチェーン分析を行った。会社の活動を，購買物流，製造，出荷物流，販売とマーケティング，サービスに分類した場合，購買物流の活動はどれか。,2,衣料品を購入者へ配送する。,生地を発注し，検品し，在庫管理する。,広告宣伝を行う。,縫製作業を行う。,平成27年春期 午前問68
SWOT分析を用いて識別した，自社製品に関する外部要因はどれか。,3,営業力における強み,機能面における強み,新規参入による脅威,品質における弱み,平成27年春期 午前問67
共通フレームによれば，企画プロセスで定義するものはどれか。,3,新しい業務の在り方や業務手順，入出力情報，業務を実施する上での責任と権限，業務上のルールや制約などの要求事項,業務要件を実現するために必要なシステムの機能や，システムの開発方式，システムの運用手順，障害復旧時間などの要求事項,経営・事業の目的，目標を達成するために必要なシステムに関係する経営上のニーズ，システム化，システム改善を必要とする業務上の課題などの要求事項,システムを構成するソフトウェアの機能及び，能力，動作のための環境条件，外部インタフェース，運用及び保守の方法などの要求事項,平成27年春期 午前問66
ITベンダにおけるソリューションビジネスの推進で用いるバランススコアカードの，学習と成長のKPIの目標例はどれか。ここで，ソリューションとは"顧客の経営課題の達成に向けて，情報技術と専門家によるプロフェッショナルサービスを通して支援すること"とする。,3,サービスを提供した顧客に対して満足度調査を行い，満足度を5段階評価で平均3.5以上とする。,再利用環境の整備によってソリューション事例の登録などを増やし，顧客提案数を前年度の1.5倍とする。,情報戦略のコンサルティングサービスに重点を置くために，社内要員30名をITのプロフェッショナルとして育成する。,情報戦略立案やシステム企画立案に対するコンサルティングの受注金額を，全体の15%以上とする。,平成27年春期 午前問65
ワークフローシステムを用いて業務改善を行ったとき，期待できる効果として適切なものはどれか。,3,顧客の購入金額に応じて，割引などのサービスを提供できる。,自社と取引先とのデータ交換の標準規約が提供できる。,書類の申請から決裁に至る事務手続の処理速度が上がる。,保管する商品の倉庫内での搬入搬出作業の自動化が可能となる。,平成27年春期 午前問63
企業活動におけるBPM(Business Process Management)の目的はどれか。,1,業務プロセスの継続的な改善,経営資源の有効活用,顧客情報の管理，分析,情報資源の分析，有効活用,平成27年春期 午前問62
システム監査人が監査報告書に記載する事項のうち，監査人の業務範囲を逸脱するものはどれか。,4,改善の勧告,改善の緊急性の判断,改善の指摘,改善の命令,平成27年春期 午前問61
システム監査実施体制のうち，システム監査人の独立性の観点から避けるべきものはどれか。,1,監査チームメンバに任命された総務部のAさんが，ほかのメンバと一緒に，総務部の入退室管理の状況を監査する。,監査部のBさんが，個人情報を取り扱う業務を委託している外部企業の個人情報管理状況を監査する。,情報システム部の開発管理者から5年前に監査部に異動したCさんが，マーケティング部におけるインターネットの利用状況を監査する。,法務部のDさんが，監査部からの依頼によって，外部委託契約の妥当性の監査において，監査人に協力する。,平成27年春期 午前問60
ITに係る内部統制を評価し検証するシステム監査の対象となるものはどれか。,4,経営企画部が行っている中期経営計画の策定の経緯,人事部が行っている従業員の人事考課の結果,製造部が行っている不良品削減のための生産設備の見直しの状況,販売部が行っているデータベースの入力・更新における正確性確保の方法,平成27年春期 午前問59
システムの費用を表すTCO(総所有費用)の意味として，適切なものはどれか。,2,業務システムの開発に関わる費用の総額,システム導入から運用及び維持・管理までを含めた費用の総額,システム導入時の費用の総額,通信・ネットワークに関わるシステムの運用費用の総額,平成27年春期 午前問58
ITサービスマネジメントのインシデント及びサービス要求管理プロセスにおいて，インシデントに対して最初に実施する活動はどれか。,1,記録,段階的取扱い,分類,優先度の割当て,平成27年春期 午前問57
ITILでは，可用性管理における重要業績評価指標(KPI)の例として，保守性を表す指標値の短縮を挙げている。この指標に該当するものはどれか。,3,一定期間内での中断の数,平均故障間隔,平均サービス回復時間,平均サービス・インシデント間隔,平成27年春期 午前問56
システムが正常に稼働するかどうかを確認するために，システムの利用部門の利用者と情報システム部門の運用者が合同で，本稼働前に運用テストを実施することになった。利用者が優先して確認すべき事項はどれか。,2,オンライン処理，バッチ処理などが，運用手順どおりに稼働すること,決められた業務手順どおりに，システムが稼働すること,全てのアプリケーションプログラムが仕様書どおりに機能すること,目標とする性能要件を満たしていること,平成27年春期 午前問55
プロジェクトスコープマネジメントにおいて，WBS作成のプロセスで行うことはどれか。,2,作業の工数を算定して，コストを見積もる。,作業を階層的に細分化する。,作業を順序付けして，スケジュールとして組み立てる。,成果物を生成するアクティビティを定義する。,平成27年春期 午前問53
プロジェクトに関わるステークホルダの説明のうち，適切なものはどれか。,3,組織の内部に属しており，組織の外部にいることはない。,プロジェクトに直接参加し，間接的な関与にとどまることはない。,プロジェクトの成果が，自らの利益になる者と不利益になる者がいる。,プロジェクトマネージャのように，個人として特定できることが必要である。,平成27年春期 午前問52
XP(Extreme Programming)において，実践することが提唱されているものはどれか。,3,構造化設計,テストツールの活用,ペアプログラミング,ユースケースの活用,平成27年春期 午前問51
オブジェクト指向の考え方に基づくとき，一般的に“自動車”のサブクラスといえるものはどれか。,4,エンジン,製造番号,タイヤ,トラック,平成27年春期 午前問48
E-R図の説明はどれか。,3,オブジェクト指向モデルを表現する図である。,時間や行動などに応じて，状態が変化する状況を表現する図である。,対象とする世界を実体と関連の二つの概念で表現する図である。,データの流れを視覚的に分かりやすく表現する図である。,平成27年春期 午前問47
コンピュータやネットワークのセキュリティ上の脆弱性を発見するために，システムを実際に攻撃して侵入を試みる手法はどれか。,3,ウォークスルー,ソフトウェアインスペクション,ペネトレーションテスト,リグレッションテスト,平成27年春期 午前問46
社員が利用するスマートフォンにディジタル証明書を導入しておくことによって，当該スマートフォンから社内システムへアクセスがあったときに，社内システム側で確認できるようになることはどれか。,2,当該スマートフォンがウイルスに感染していないこと,当該スマートフォンが社内システムへのアクセスを許可されたデバイスであること,当該スマートフォンのOSに最新のセキュリティパッチが適用済みであること,当該スマートフォンのアプリケーションが最新であること,平成27年春期 午前問45
ファイルの属性情報として，ファイルに対する読取り，書込み，実行の権限を独立に設定できるOSがある。この3種類の権限は，それぞれに1ビットを使って許可，不許可を設定する。この3ビットを8進数表現0～7の数字で設定するとき，次の試行結果から考えて，適切なものはどれか。     〔試行結果〕     ①0を設定したら，読取り，書込み，実行ができなくなってしまった。     ②3を設定したら，読取りと書込みはできたが，実行ができなかった。     ③7を設定したら，読取り，書込み，実行ができるようになった。,2,2を設定すると，読取りと実行ができる。,4を設定すると，実行だけができる。,5を設定すると，書込みだけができる。,6を設定すると，読取りと書込みができる。,平成27年春期 午前問44
Webサーバのコンテンツの改ざんを検知する方法のうち，最も有効なものはどれか。,2,Webサーバのコンテンツの各ファイルの更新日を保管しておき，定期的に各ファイルの更新日と比較する。,Webサーバのコンテンツの各ファイルのハッシュ値を保管しておき，定期的に各ファイルから生成したハッシュ値と比較する。,Webサーバのメモリ使用率を定期的に確認し，バッファオーバフローが発生していないことを確認する。,Webサーバへの通信を監視し，HTTP，HTTPS以外の通信がないことを確認する。,平成27年春期 午前問43
SQLインジェクション攻撃の説明はどれか。,1,Webアプリケーションに問題があるとき，悪意のある問合せや操作を行う命令文を入力して，データベースのデータを不正に取得したり改ざんしたりする攻撃,悪意のあるスクリプトを埋め込んだWebページを訪問者に閲覧させて，別のWebサイトで，その訪問者が意図しない操作を行わせる攻撃,市販されているDBMSの脆弱性を利用することによって，宿主となるデータベーサーバを探して自己伝染を繰り返し，インターネットのトラフィックを急増させる攻撃,訪問者の入力データをそのまま画面に表示するWebサイトに対して，悪意のあるスクリプトを埋め込んだ入力データを送ることによって，訪問者のブラウザで実行させる攻撃,平成27年春期 午前問42
バイオメトリクス認証には，身体的特徴を抽出して認証する方式と行動的特徴を抽出して認証する方式がある。行動的特徴を用いているものはどれか。,2,血管の分岐点の分岐角度や分岐点間の長さから特徴を抽出して認証する。,署名するときの速度や筆圧から特徴を抽出して認証する。,どう孔から外側に向かって発生するカオス状のしわの特徴を抽出して認証する。,隆線によって形作られる紋様からマニーシャと呼ばれる特徴点を抽出して認証する。,平成27年春期 午前問41
データベースで管理されるデータの暗号化に用いることができ，かつ，暗号化と復号とで同じ鍵を使用する暗号化方式はどれか。,1,AES,PKI,RSA,SHA-256,平成27年春期 午前問39
ディジタル署名における署名鍵の用い方と，ディジタル署名を行う目的のうち，適切なものはどれか。,3,受信者が署名鍵を使って，暗号文を元のメッセージに戻すことができるようにする。,送信者が固定文字列を付加したメッセージを，署名鍵を使って暗号化することによって，受信者がメッセージの改ざん部位を特定できるようにする。,送信者が署名鍵を使って署名を作成し，それをメッセージに付加することによって，受信者が送信者を確認できるようにする。,送信者が署名鍵を使ってメッセージを暗号化することによって，メッセージの内容を関係者以外に分からないようにする。,平成27年春期 午前問38
キーロガーの悪用例はどれか。,2,通信を行う2者間の経路上に割り込み，両者が交換する情報を収集し，改ざんする。,ネットバンキング利用時に，利用者が入力したパスワードを収集する。,ブラウザでの動画閲覧時に，利用者の意図しない広告を勝手に表示する。,ブラウザの起動時に，利用者がインストールしていないツールバーを勝手に表示する。,平成27年春期 午前問37
IPv4のグローバルIPアドレスはどれか。,1,118.151.146.138,127.158.32.134,172.22.151.43,192.168.38.158,平成27年春期 午前問36
TCP/IPを利用している環境で，電子メールに画像データなどを添付するための規格はどれか。,2,JPEG,MIME,MPEG,SMTP,平成27年春期 午前問35
IPv6のIPアドレスは何ビットか。,3,32,64,128,256,平成27年春期 午前問34
LAN間接続装置に関する記述のうち，適切なものはどれか。,3,ゲートウェイは，OSI基本参照モデルにおける第1～3層だけのプロトコルを変換する。,ブリッジは，IPアドレスを基にしてフレームを中継する。,リピータは，同種のセグメント間で信号を増幅することによって伝送距離を延長する。,ルータは，MACアドレスを基にしてフレームを中継する。,平成27年春期 午前問33
CSMA/CD方式のLANに接続されたノードの送信動作として，適切なものはどれか。,2,各ノードに論理的な順位付けを行い，送信権を順次受け渡し，これを受け取ったノードだけが送信を行う。,各ノードは伝送媒体が使用中かどうかを調べ，使用中でなければ送信を行う。衝突を検出したらランダムな時間経過後に再度送信を行う。,各ノードを環状に接続して，送信権を制御するための特殊なフレームを巡回させ，これを受け取ったノードだけが送信を行う。,タイムスロットを割り当てられたノードだけが送信を行う。,平成27年春期 午前問32
10Mバイトのデータを100000ビット／秒の回線を使って転送するとき，転送時間は何秒か。ここで，回線の伝送効率を50%とし，1Mバイト＝10^6バイトとする。,4,200,400,800,1600,平成27年春期 午前問31
新たにデータ項目の命名規約を設ける場合，次の命名規約だけでは回避できない問題はどれか。     〔命名規約〕     (1):データ項目名の末尾には必ず"名"，"コード"，"数"，"金額"，"年月日"などの区分語を付与し，区分語ごとに定めたデータ型にする。     (2):データ項目名と意味を登録した辞書を作成し，異音同義語や同音異義語が発生しないようにする。,2,データ項目"受信年月日"のデータ型として，日付型と文字列型が混在する。,データ項目"受注金額"の取り得る値の範囲がテーブルによって異なる。,データ項目"賞与金額"と同じ意味で"ボーナス金額"というデータ項目がある。,データ項目"取引先"が，"取引先コード"か"取引先名"か，判別できない。,平成27年春期 午前問29
クライアントサーバシステムにおいて，クライアント側からストアドプロシージャを利用したときの利点として，適切なものはどれか。,1,クライアントとサーバ間の通信量を削減できる。,サーバ内でのデータベースファイルへのアクセス量を削減できる。,サーバのメモリ使用量を削減できる。,データベースファイルの格納領域を削減できる。,平成27年春期 午前問27
DBMSが，3層スキーマアーキテクチャを採用する目的として，適切なものはどれか。,3,関係演算によって元の表から新たな表を導出し，それが実在しているように見せる。,対話的に使われるSQL文を，アプリケーションプログラムからも使えるようにする。,データの物理的な格納構造を変更しても，アプリケーションプログラムに影響が及ばないようにする。,プログラム言語を限定して，アプリケーションプログラムとDBMSを緊密に結合する。,平成27年春期 午前問26
テクスチャマッピングを説明したものはどれか。,4,光源からの反射や屈折，透過を計算し描画していく。,光源と物体の形状などに基づいて，表示するときに陰影をつける。,表示画面からはみ出す箇所をあらかじめ見つけ，表示対象から外す。,物体の表面に画像を貼り付けることによって，表面の質感を表現する。,平成27年春期 午前問25
ビットマップフォントよりも，アウトラインフォントの利用が適しているケースはどれか。,4,英数字だけでなく，漢字も表示する。,各文字の幅を一定にして表示する。,画面上にできるだけ高速に表示する。,文字を任意の倍率で拡大して表示する。,平成27年春期 午前問24
SRAMと比較した場合のDRAMの特徴はどれか。,3,主にキャッシュメモリとして使用される。,データを保持するためのリフレッシュ又はアクセス動作が不要である。,メモリセル構成が単純なので，ビット当たりの単価が安くなる。,メモリセルにフリップフロップを用いてデータを保存する。,平成27年春期 午前問22
出力待ちの印刷要求を，同一機種の3台のプリンタA～CのうちAから順に空いているプリンタに割り当てる(Cの次は再びAに戻る)システムがある。印刷要求の印刷時間が出力待ちの順に，5，12，4，3，10，4(分)である場合，印刷に要した時間が長い順にプリンタを並べたものはどれか。ここで，初期状態ではプリンタはすべて空いているものとする。,1,A，B，C,B，A，C,B，C，A,C，B，A,平成27年春期 午前問21
ページング方式の仮想記憶において，ページ置換えアルゴリズムにLRU方式を採用する。主記憶に割り当てられるページ枠が4のとき，ページ1，2，3，4，5，2，1，3，2，6の順にアクセスすると，ページ6をアクセスする時点で置き換えられるページはどれか。ここで，初期状態では主記憶にどのページも存在しないものとする。,4,1,2,4,5,平成27年春期 午前問20
ノンプリエンプティブなスケジューリング方式の説明として，適切なものはどれか。,3,新しいタスクが実行可能状態になるたびに，各タスクの残りの実行時間を評価し，その時間が短いものから順に実行する。,実行状態としたタスクが決められた時間内に待ち状態に遷移しないときに，そのタスクを中断して実行待ち行列にある次のタスクを実行状態とする。,実行状態としたタスクが自ら待ち状態に遷移するか終了するまで，他のタスクを実行状態とすることができない。,タスクが実行可能状態になったときに，そのタスクの優先度と，その時，実行状態であるタスクの優先度とを比較して，優先度が高い方のタスクを実行状態とする。,平成27年春期 午前問19
仮想記憶方式のコンピュータシステムにおいて処理の多重度を増やしたところ，ページイン，ページアウトが多発して，システムの応答速度が急激に遅くなった。このような現象を何というか。,2,オーバレイ,スラッシング,メモリコンパクション,ロールアウト,平成27年春期 午前問18
スプーリングの説明として，適切なものはどれか。,4,キーボードからの入力データを主記憶のキューに一旦保存しておく。,システムに投入されたジョブの実行順序を，その特性や優先順位に応じて決定する。,通信データを直接通信相手に送らず，あらかじめ登録しておいた代理に送る。,プリンタなどの低速な装置への出力データを一旦高速な磁気ディスクに格納しておき，その後に目的の装置に出力する。,平成27年春期 午前問17
コンピュータシステムの信頼性に関する記述のうち，適切なものはどれか。,4,システムの遠隔保守は，MTTRを長くし，稼働率を向上させる。,システムの稼働率は，MTTRとMTBFを長くすることによって向上する。,システムの構成が複雑なほど，MTBFは長くなる。,システムの予防保守は，MTBFを長くするために行う。,平成27年春期 午前問16
稼働率が最も高いシステム構成はどれか。ここで，並列に接続したシステムは，少なくともそのうちのどれか一つが稼働していればよいものとする。,2,稼働率70％の同一システムを四つ並列に接続,稼働率80％の同一システムを三つ並列に接続,稼働率90％の同一システムを二つ並列に接続,稼働率99％の単一システム,平成27年春期 午前問15
仮想化マシン環境を物理マシン20台で運用しているシステムがある。次の運用条件のとき，物理マシンが最低何台停止すると縮退運転になるか。     〔運用条件〕     (1):物理マシンが停止すると，そこで稼働していた仮想マシンは他の全ての物理マシンで均等に稼働させ，使用していた資源も同様に配分する。     (2):物理マシンが20台のときに使用する資源は，全ての物理マシンにおいて70%である。     (3):1台の物理マシンで使用している資源が90%を超えた場合，システム全体が縮退運転となる。     (4):(1)～(3)以外の条件は考慮しなくてよい。,4,2,3,4,5,平成27年春期 午前問13
回転数が4200回／分で，平均位置決め時間が5ミリ秒の磁気ディスク装置がある。この磁気ディスク装置の平均待ち時間は約何ミリ秒か。ここで，平均待ち時間は，平均位置決め時間と平均回転待ち時間の合計である。,3,7,10,12,14,平成27年春期 午前問12
メモリのエラー検出及び訂正にECCを利用している。データバス幅 2nビットに対して冗長ビットがn＋2ビット必要なとき，128ビットのデータバス幅に必要な冗長ビットは何ビットか。,3,7,8,9,10,平成27年春期 午前問10
Javaのプログラムにおいて，よく使われる機能などを部品化し，再利用できるようにコンポーネント化するための仕様はどれか。,1,JavaBeans,JavaScript,Javaアプリケーション,Javaアプレット,平成27年春期 午前問8
再入可能プログラムの特徴はどれか。,4,主記憶上のどこのアドレスに配置しても，実行することができる。,手続の内部から自分自身を呼び出すことができる。,必要な部分を補助記憶装置から読み込みながら動作する。主記憶領域の大きさに制限があるときに，有効な手法である。,複数のタスクからの呼出しに対して，並行して実行されても，それぞれのタスクに正しい結果を返す。,平成27年春期 午前問7
整列されたn個のデータの中から，求める要素を2分探索法で探索する。この処理の計算量のオーダを表す式はどれか。,1,log n,n,n^2,n log n,平成27年春期 午前問6
キューに関する記述として，最も適切なものはどれか。,2,最後に格納されたデータが最初に取り出される。,最初に格納されたデータが最初に取り出される。,添字を用いて特定のデータを参照する。,二つ以上のポインタを用いてデータの階層関係を表現する。,平成27年春期 午前問5
桁落ちの説明として，適切なものはどれか。,1,値がほぼ等しい浮動小数点数同士の減算において，有効桁数が大幅に減ってしまうことである。,演算結果が，扱える数値の最大値を超えることによって生じる誤差のことである。,浮動小数点数の演算結果について，最小の桁より小さい部分の四捨五入，切上げ又は切捨てを行うことによって生じる誤差のことである。,浮動小数点の加算において，一方の数値の下位の桁が結果に反映されないことである。,平成27年春期 午前問2
独占禁止法の目的として，適切なものはどれか。,1,公正かつ自由な競争を促進する。,国際的な平和及び安全の維持を阻害する取引を防止する。,製造物の欠陥によって損害が生じたときの製造業者の責任を定める。,特許権者に発明を実施する権利を与え，発明を保護する。,平成27年秋期 午前問80
サイバーセキュリティ基本法の説明はどれか。,1,国民に対し，サイバーセキュリティの重要性につき関心と理解を深め，その確保に必要な注意を払うよう努めることを求める規定がある。,サイバーセキュリティに関する国及び情報通信事業者の責務を定めたものであり，地方公共団体や教育研究機関についての言及はない。,サイバーセキュリティに関する国及び地方公共団体の責務を定めたものであり，民間事業者が努力すべき事項についての規定はない。,地方公共団体を"重要社会基盤事業者"と位置づけ，サイバーセキュリティ関連施策の立案・実施に責任を負うと規定している。,平成27年秋期 午前問79
平成27年4月に30万円で購入したPCを3年後に1万円で売却するとき，固定資産売却損は何万円か。ここで，耐用年数は4年，減価償却は定額法，定額法の償却率は0.250，残存価額は0円とする。,2,6.0,6.5,7.0,7.5,平成27年秋期 午前問77
キャッシュフローを改善する行為はどれか。,2,受取手形の期日を長くして受け取る。,売掛金を回収するまでの期間を短くする。,買掛金を支払うまでの期間を短くする。,支払手形の期日を短くして支払う。,平成27年秋期 午前問76
CIOが経営から求められる役割はどれか。,4,企業経営のための財務戦略の立案と遂行,企業の研究開発方針の立案と実施,企業の法令遵守の体制の構築と運用,ビジネス価値を最大化させるITサービス活用の促進,平成27年秋期 午前問75
通信機能及び他の機器の管理機能をもつ高機能型の電力メータであるスマートメータを導入する目的として，適切でないものはどれか。,2,自動検針によって，検針作業の効率を向上させる。,停電時に補助電源によって，一定時間電力を供給し続ける。,電力需要制御によって，ピーク電力を抑制する。,電力消費量の可視化によって，節電の意識を高める。,平成27年秋期 午前問74
ソーシャルメディアをビジネスにおいて活用している事例はどれか。,2,営業部門が発行部数の多い雑誌に商品記事を頻繁に掲載し，商品の認知度の向上を目指す。,企業が自社製品の使用状況などの意見を共有する場をインターネット上に設けて，製品の改善につなげる。,企業が市場の変化に合わせた経営戦略をビジネス専門誌に掲載し，企業の信頼度向上を目指す。,企業の研究者が，国内では販売されていない最新の専門誌をネット通販で入手して，研究開発の推進につなげる。,平成27年秋期 午前問73
ICタグ(RFID)の特徴はどれか。,4,GPSを利用し，現在地の位置情報や属性情報を表示する。,専用の磁気読取り装置に挿入して使用する。,大量の情報を扱うので，情報の記憶には外部記憶装置を使用する。,汚れに強く，記録された情報を梱包の外から読むことができる。,平成27年秋期 午前問72
セル生産方式の利点が生かせる対象はどれか。,3,生産性を上げるために，大量生産が必要なもの,製品の仕様が長期間変わらないもの,多種類かつフレキシブルな生産が求められるもの,標準化，単純化，専門化による分業が必要なもの,平成27年秋期 午前問71
プロダクトライフサイクルにおける成長期の特徴はどれか。,1,市場が商品の価値を理解し始める。商品ラインもチャネルも拡大しなければならない。この時期は売上も伸びるが，投資も必要である。,需要が大きくなり，製品の差別化や市場の細分化が明確になってくる。競争者間の競争も激化し，新品種の追加やコストダウンが重要となる。,需要が減ってきて，撤退する企業も出てくる。この時期の強者になれるかどうかを判断し，代替市場への進出なども考える。,需要は部分的で，新規需要開拓が勝負である。特定ターゲットに対する信念に満ちた説得が必要である。,平成27年秋期 午前問69
経営戦略策定に用いられるSWOT分析はどれか。,1,競争環境における機会・脅威と事業の強み・弱みを分析する。,競争に影響する要因と，他者の動き，自社の動きを分析する。,市場に対するマーケティングツールの最適な組合せを分析する。,市場の成長性と占有率の観点から各事業の位置付けを分析する。,平成27年秋期 午前問68
コトラーの競争戦略によると，業界でのシェアは高くないが，特定の製品・サービスに経営資源を集中することによって，収益を高め，独自の地位を獲得することを戦略目標とする企業はどれか。,2,マーケットチャレンジャ,マーケットニッチャ,マーケットフォロワ,マーケットリーダ,平成27年秋期 午前問67
企業が保有する顧客や市場などの膨大なデータから，有用な情報や関係を見つけ出す手法はどれか。,4,データウェアハウス,データディクショナリ,データフローダイアグラム,データマニング,平成27年秋期 午前問64
SOAの説明はどれか。,4,売上・利益の増加や，顧客満足度の向上のために，営業活動にITを活用して営業の効率と品質を高める概念のこと,経営資源をコアビジネスに集中させるために，社内業務のうちコアビジネス以外の業務を外部に委託すること,コスト，品質，サービス，スピードを革新的に改善させるために，ビジネスプロセスを抜本的にデザインし直す概念のこと,ソフトウェアの機能をサービスという部品とみなし，そのサービスを組み合わせることでシステムを構築する概念のこと,平成27年秋期 午前問63
システム企画段階において業務プロセスを抜本的に再設計する際の留意点はどれか。,1,新たな視点から高い目標を設定し，将来的に必要となる最上位の業務機能と業務組織のモデルを検討する。,業務改善を積み重ねるために，ビジネスモデルの将来像にはこだわらず，現場レベルのニーズや課題への対応を重視して業務プロセスを再設計する。,経営者や管理者による意思決定などの非定型業務ではなく，購買，製造，販売，出荷，サービスといった定型業務を対象とする。,現行業務に関する組織，技術などについての情報を収集し，現行の組織や業務手続に基づいて業務プロセスを再設計する。,平成27年秋期 午前問62
エンタープライズアーキテクチャを構成するアプリケーションアーキテクチャについて説明したものはどれか。,2,業務に必要なデータの内容，データ間の関連や構造などを体系的に示したもの,業務プロセスを支援するシステムの機能や構成などを体系的に示したもの,情報システムの構築・運用に必要な技術的構成要素を体系的に示したもの,ビジネス戦略に必要な業務プロセスや情報の流れを体系的に示したもの,平成27年秋期 午前問61
スプレッドシートの処理ロジックの正確性に関わるコントロールを監査する際のチェックポイントはどれか。,3,スプレッドシートの作成者と利用者が同一であること,スプレッドシートのバックアップが行われていること,スプレッドシートのプログラムの内容が文書化され検証されていること,スプレッドシートの利用者が定められていること,平成27年秋期 午前問60
ソースコードのバージョン管理システムが導入された場合に，システム監査において，ソースコードの機密性のチェックポイントとして追加することが適切なものはどれか。,2,バージョン管理システムに登録したソースコードの変更結果を責任者が承認していること,バージョン管理システムのアクセスコントロールの設定が適切であること,バージョン管理システムの導入コストが適正な水準にあること,バージョン管理システムを開発部門が選定していること,平成27年秋期 午前問59
システム監査の実施体制に関する記述のうち，適切なものはどれか。,1,監査依頼者が監査報告に基づく改善指示を行えるように，システム監査人は監査結果を監査依頼者に報告する。,業務監査の一部として情報システムの監査を行う場合には，利用部門のメンバによる監査チームを編成して行う。,システム監査人が他の専門家の支援を受ける場合には，支援の範囲，方法，監査結果の判断などは，ほかの専門家の責任において行う。,情報システム部門における開発の状況の監査を行う場合には，開発内容を熟知した情報システム部門のメンバによる監査チームを編成して行う。,平成27年秋期 午前問58
業務部門が起票した入力原票を，情報システム部門でデータ入力する場合，情報システム部門の業務として，適切なものはどれか。,1,業務部門が入力原票ごとの処理結果を確認できるように，処理結果リストを業務部門に送付している。,入力原票の記入内容に誤りがある場合は，誤りの内容が明らかなときに限り，入力担当者だけの判断で入力原票を修正し，入力処理している。,入力原票は処理期日まで情報システム部門で保管し，受領枚数の点検などの授受確認は，処理期日直前に一括して行うことにしている。,入力済みの入力原票は，不正使用や機密情報の漏えいなどを防止するために，入力後直ちに廃棄することにしている。,平成27年秋期 午前問57
情報システムの安全性や信頼性を向上させる考え方のうち，フェールセーフはどれか。,3,システムが部分的に故障しても，システム全体としては必要な機能を維持する。,システム障害が発生したとき，待機しているシステムに切り替えて処理を続行する。,システムを構成している機器が故障したときは，システムが安全に停止するようにして，被害を最小限に抑える。,利用者が誤った操作をしても，システムに異常が起こらないようにする。,平成27年秋期 午前問56
サービスデスク組織の構造とその特徴のうち，ローカルサービスデスクのものはどれか。,2,サービスデスクを1拠点又は少数の場所に集中することによって，サービス要員を効率的に配置したり，大量のコールに対応したりすることができる。,サービスデスクを利用者の近くに配置することによって，言語や文化の異なる利用者への対応，専用要員によるVIP対応などができる。,サービス要員は複数の地域や部門に分散しているが，通信技術を利用することによって，単一のサービスデスクであるかのようなサービスが提供できる。,分散拠点のサービス要員を含めた全員を中央で統括して管理することによって，統制の取れたサービスが提供できる。,平成27年秋期 午前問55
プロジェクトのリスクに対応する戦略として，損害発生時のリスクに備え，損害賠償保険に加入することにした。PMBOKによれば，該当する戦略はどれか。,4,回避,軽減,受容,転嫁,平成27年秋期 午前問54
10人が0.5kステップ／人日の生産性で作業するとき，30日間を要するプログラミング作業がある。10日目が終了した時点で作業が終了したステップ数は，10人の合計で30kステップであった。予定の30日間でプログラミングを完了するためには，少なくとも何名の要員を追加すればよいか。ここで，追加する要員の生産性は，現在の要員と同じとする。,3,2,7,10,20,平成27年秋期 午前問53
共通フレームのプロセスのうち，成果物が利用者の視点から意図された正しいものになっているかどうかを確認するプロセスはどれか。,4,監査プロセス,検証プロセス,使用性向上プロセス,妥当性確認プロセス,平成27年秋期 午前問50
ソースコードやオブジェクトコードを解析して，プログラムの仕様と設計の情報を取り出す手法はどれか。,3,リエンジニアリング,リストラクチャリング,リバースエンジニアリング,リファクタリング,平成27年秋期 午前問49
ボトムアップテストの特徴として，適切なものはどれか。,4,開発の初期の段階では，並行作業が困難である。,スタブが必要である。,テスト済みの上位モジュールが必要である。,ドライバが必要である。,平成27年秋期 午前問48
レビュー技法の一つであるインスペクションにおけるモデレータの役割はどれか。,4,レビューで提起された欠陥，課題，コメントを記録する。,レビューで発見された欠陥を修正する。,レビューの対象となる資料を，他のレビュー参加者に説明する。,レビューを主導し，参加者にそれぞれの役割を果たさせるようにする。,平成27年秋期 午前問46
2要素認証に該当するものはどれか。,2,2本の指の指紋で認証する。,虹彩とパスワードで認証する。,異なる2種類の特殊文字を混ぜたパスワードで認証する。,異なる2つのパスワードで認証する。,平成27年秋期 午前問45
ワームの検知方式の一つとして，検査対象のファイルからSHA-256を使ってハッシュ値を求め，既知のワーム検体ファイルのハッシュ値のデータベースと照合することによって，検知できるものはどれか。,1,ワーム検体と同一のワーム,ワーム検体と特徴あるコード列が同じワーム,ワーム検体とファイルサイズが同じワーム,ワーム検体の亜種に当たるワーム,平成27年秋期 午前問43
SQLインジェクション攻撃を防ぐ方法はどれか。,1,入力中の文字がデータベースへの問合せや操作において，特別な意味をもつ文字として解釈されないようにする。,入力にHTMLタグが含まれていたら，HTMLタグとして解釈されない他の文字列に置き換える。,入力に，上位ディレクトリを指定する文字(../)を含むときは受け付けない。,入力の全体の長さが制限を超えているときは受け付けない。,平成27年秋期 午前問42
